k_active,trajectory,seed,control,official_w_corr_global,centered_w_corr_global,alpha_mae,alpha_temporal_variation_ratio,w_temporal_variation_ratio,w_relative_innovation_error
2,simple,20260729,constant_mean_alpha,0.9972668271407292,0.8626440732408432,0.24999999999999992,1.53867791546966e-15,1.0415821288659092e-14,0.49985000749624997
2,simple,20260730,constant_mean_alpha,0.9972668271407292,0.8626440732408432,0.24999999999999992,1.53867791546966e-15,1.0415821288659092e-14,0.49985000749624997
2,simple,20260731,constant_mean_alpha,0.9972668271407292,0.8626440732408432,0.24999999999999992,1.53867791546966e-15,1.0415821288659092e-14,0.49985000749624997
2,simple,20260732,constant_mean_alpha,0.9972668271407292,0.8626440732408432,0.24999999999999992,1.53867791546966e-15,1.0415821288659092e-14,0.49985000749624997
2,simple,20260733,constant_mean_alpha,0.9972668271407292,0.8626440732408432,0.24999999999999992,1.53867791546966e-15,1.0415821288659092e-14,0.49985000749624997
2,medium,20260729,constant_mean_alpha,0.9954465672028694,0.796732107131741,0.3456334758926502,0.0,7.423938992761277e-15,0.5982386674631179
2,medium,20260730,constant_mean_alpha,0.9954465672028694,0.796732107131741,0.3456334758926502,0.0,7.423938992761277e-15,0.5982386674631179
2,medium,20260731,constant_mean_alpha,0.9954465672028694,0.796732107131741,0.3456334758926502,0.0,7.423938992761277e-15,0.5982386674631179
2,medium,20260732,constant_mean_alpha,0.9954465672028694,0.796732107131741,0.3456334758926502,0.0,7.423938992761277e-15,0.5982386674631179
2,medium,20260733,constant_mean_alpha,0.9954465672028694,0.796732107131741,0.3456334758926502,0.0,7.423938992761277e-15,0.5982386674631179
2,complex,20260729,constant_mean_alpha,0.9957602232129171,0.8108005072169127,0.32388877163965035,6.192600405736543e-16,7.441155017465226e-15,0.5793233773788846
2,complex,20260730,constant_mean_alpha,0.9957602232129171,0.8108005072169127,0.32388877163965035,6.192600405736543e-16,7.441155017465226e-15,0.5793233773788846
2,complex,20260731,constant_mean_alpha,0.9957602232129171,0.8108005072169127,0.32388877163965035,6.192600405736543e-16,7.441155017465226e-15,0.5793233773788846
2,complex,20260732,constant_mean_alpha,0.9957602232129171,0.8108005072169127,0.32388877163965035,6.192600405736543e-16,7.441155017465226e-15,0.5793233773788846
2,complex,20260733,constant_mean_alpha,0.9957602232129171,0.8108005072169127,0.32388877163965035,6.192600405736543e-16,7.441155017465226e-15,0.5793233773788846
3,simple,20260729,constant_mean_alpha,0.9953220637926001,0.7428695176714758,0.27093333333333336,4.735526547409615e-16,7.52685225134459e-15,0.6615511167671951
3,simple,20260730,constant_mean_alpha,0.9953220637926001,0.7428695176714758,0.27093333333333336,4.735526547409615e-16,7.52685225134459e-15,0.6615511167671951
3,simple,20260731,constant_mean_alpha,0.9953220637926001,0.7428695176714758,0.27093333333333336,4.735526547409615e-16,7.52685225134459e-15,0.6615511167671951
3,simple,20260732,constant_mean_alpha,0.9953220637926001,0.7428695176714758,0.27093333333333336,4.735526547409615e-16,7.52685225134459e-15,0.6615511167671951
